rep,auroc_all,auroc_coding,auroc_noncoding,auroc_missense
Evo2 zero-shot (no train),0.8886363900670333,0.85640013897161,0.9593683028880496,0.8002975806402054
Evo2-LLR  (supervised),0.8879239758399403,0.8555260041212271,0.9594448413103378,0.7990846745202147
Evo2-emb  (supervised),0.7618236425903105,0.7493496402483689,0.7943514644351464,0.6935779731946979
ESM-only,0.7623545074844413,0.8366022468217946,0.4694968874374936,0.8908031143803502
ESM + Evo2-LLR,0.912500113064531,0.9040111793418358,0.9589141749158079,0.8987350134272317
ESM + Evo2-emb,0.856937402737583,0.8789731846405563,0.7811511378712113,0.8832245635381524
