a,b,stratum,delta_med,ci_lo,ci_hi,p_gt0,significant
ESM+Evo2-LLR,Evo2 zero-shot,all,0.024086290001987642,0.007067621046593186,0.04096939403440046,0.999,True
ESM+Evo2-LLR,Evo2 zero-shot,coding,0.047773164827118075,0.025400290506134262,0.07037977556625474,1.0,True
ESM+Evo2-LLR,Evo2 zero-shot,noncoding,-0.0004797481098910983,-0.0019141573531710255,0.001216346316486058,0.2785,False
ESM+Evo2-LLR,Evo2 zero-shot,missense,0.09823947016290091,0.0693807504725693,0.1294318256462783,1.0,True
ESM+Evo2-LLR,Evo2-LLR sup,all,0.024716332589173717,0.0078103781223873596,0.04155564415597991,0.9995,True
ESM+Evo2-LLR,Evo2-LLR sup,coding,0.04865648846140319,0.02647686068952202,0.07140581479866533,1.0,True
ESM+Evo2-LLR,Evo2-LLR sup,noncoding,-0.0005450562972851847,-0.002136478675908071,0.0011560860263161708,0.2495,False
ESM+Evo2-LLR,Evo2-LLR sup,missense,0.09928452893563705,0.0706266141439652,0.13073180380295774,1.0,True
ESM+Evo2-LLR,ESM-only,all,0.15003250099036314,0.12997065236839647,0.1710845474994273,1.0,True
ESM+Evo2-LLR,ESM-only,coding,0.06718916983460632,0.05264925291050214,0.08334876064992325,1.0,True
ESM+Evo2-LLR,ESM-only,noncoding,0.4899582456046837,0.4206863608144899,0.5521834151671369,1.0,True
ESM+Evo2-LLR,ESM-only,missense,0.007590605395339234,-0.004253987618953009,0.020907978418200922,0.8955,False
