a,b,stratum,delta,ci_lo,ci_hi,sig
Pretrained-Fused,Evo2 zero-shot,all,0.022458271956448728,0.005632968383608198,0.03963641921572763,True
Pretrained-Fused,Evo2 zero-shot,coding,0.06424078786394011,0.04201574605110912,0.08671278474890828,True
Pretrained-Fused,Evo2 zero-shot,noncoding,-0.07680542514282696,-0.1127161921462576,-0.045001479807214806,False
Pretrained-Fused,Evo2 zero-shot,missense,0.10854371252563849,0.079378250649903,0.1417414530956614,True
