feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
3,287,1.0,cross-mo,0.621,pathogenic-general,1,LDLR,0.15,other,0.0,M>L,0.55,0.0,0.0,0.0,0.0,2.08,0.0,12.4,False,0.159,GO:0005886,GO:0005576,GO:0005615
5,154,0.333,cross-mo,0.433,unresolved,0,TMEM225,0.05,transporter,0.05,L>R,0.2,0.0,0.0,0.0,0.0,3.51,0.45,29.0,False,0.222,GO:0005886,GO:0005634,GO:0005654
7,350,1.0,cross-mo,0.595,mechanism:charge-reversal,2,POMT2,0.05,transporter,0.15,M>R,1.0,0.0,0.0,0.0,0.0,6.4,1.0,10.5,False,0.139,GO:0005829,GO:0070062,GO:0016020
11,20,0.462,cross-mo,0.577,unresolved,0,TP53,0.3,other,0.0,R>H,0.15,0.0,0.05,0.05,0.15,3.44,0.68,47.5,False,0.231,GO:0005829,GO:0005654,GO:0005634
12,13,0.833,cross-mo,0.564,mechanism:cysteine-gain,4,OTC,0.05,ion_channel,0.05,F>C,0.65,0.05,0.0,0.7,0.05,1.02,0.05,73.8,False,0.263,GO:0005634,GO:0008270,GO:0006357
13,1800,0.515,cross-mo,0.571,unresolved,0,IDS,0.022,cardiac_sarcomere,0.022,R>Q,0.156,0.011,0.011,0.167,0.022,4.08,0.71,47.1,False,0.3,GO:0005886,GO:0005737,GO:0005829
18,955,0.15,cross-mo,0.59,unresolved,0,ACP2,0.021,transporter,0.085,I>V,0.468,0.0,0.021,0.021,0.0,1.9,0.04,32.0,False,0.138,GO:0005886,GO:0016020,GO:0005737
23,3014,0.078,cross-mo,0.587,benign-general,1,SOX18,0.02,ion_channel,0.013,P>S,1.0,0.0,0.0,0.0,0.0,0.8,0.0,23.7,False,0.325,GO:0005634,GO:0005829,GO:0005654
24,1289,0.057,cross-mo,0.583,benign-general,1,GGT5,0.016,keratin,0.062,P>L,0.219,0.062,0.016,0.062,0.062,3.37,0.3,45.8,False,0.181,GO:0005634,GO:0005829,GO:0005886
25,885,0.357,cross-mo,0.601,unresolved,0,SLC39A7,0.023,transporter,0.182,L>V,0.841,0.0,0.0,0.0,0.0,0.45,0.0,22.5,False,0.289,GO:0005886,GO:0005737,GO:0005829
26,32,0.0,cross-mo,0.615,unresolved,0,MASTL,0.1,other,0.0,T>I,0.5,0.0,0.0,0.0,0.1,3.7,0.0,38.6,False,0.188,GO:0005634,GO:0005829,GO:0005654
30,182,0.8,cross-mo,0.604,mechanism:glycine-loss,2,MAP3K7,0.1,other,0.0,G>S,0.5,1.0,0.0,0.05,0.0,1.84,0.4,50.8,False,0.24,GO:0005886,GO:0005829,GO:0005737
31,10,0.909,cross-mo,0.559,unresolved,0,KRT6A,0.1,keratin,0.3,L>P,0.25,0.05,0.0,0.05,0.3,4.38,0.3,47.8,False,0.282,GO:0005829,GO:0005634,GO:0045109
34,2460,0.472,dna-driv,0.27,unresolved,0,GABRB2,0.016,transporter,0.065,A>T,0.065,0.203,0.033,0.024,0.016,2.29,0.44,42.1,False,0.227,GO:0005886,GO:0005634,GO:0005829
35,89,0.8,cross-mo,0.514,unresolved,0,LRRC15,0.05,transporter,0.1,P>A,0.3,0.3,0.05,0.0,0.0,3.24,0.2,36.1,False,0.24,GO:0005737,GO:0005829,GO:0005886
37,32,0.0,cross-mo,0.482,unresolved,0,MCEE,0.05,other,0.0,P>S,0.75,0.0,0.0,0.05,0.0,1.21,0.05,26.3,False,0.278,GO:0005615,GO:0005886,GO:0070062
39,226,0.1,cross-mo,0.598,mechanism:cysteine-gain,4,CXCR5,0.05,transporter,0.05,R>C,1.0,0.0,0.0,1.0,0.0,7.0,1.0,64.9,False,0.053,GO:0005886,GO:0016020,GO:0005789
41,5172,0.258,cross-mo,0.586,mechanism:hydrophobicity-switch,2,SMAD3,0.023,ion_channel,0.019,T>I,0.128,0.081,0.008,0.039,0.004,5.03,0.34,50.2,False,0.227,GO:0005634,GO:0005829,GO:0005737
42,1321,0.793,cross-mo,0.588,unresolved,0,OR9G1,0.015,RAS_MAPK,0.045,V>M,0.667,0.015,0.015,0.0,0.015,2.03,0.0,30.2,False,0.261,GO:0005886,GO:0005737,GO:0005829
44,355,0.143,cross-mo,0.606,unresolved,0,HAVCR1,0.1,transporter,0.1,T>M,0.15,0.0,0.0,0.1,0.0,3.34,0.42,50.6,False,0.184,GO:0005886,GO:0005634,GO:0009986
45,33,-1.0,cross-mo,0.581,unresolved,0,ZNF778,0.1,other,0.0,S>L,0.5,0.0,0.0,0.0,0.0,3.92,0.0,85.6,False,0.004,GO:0005634,GO:0008270,GO:0006357
47,15,-1.0,cross-mo,0.582,mechanism:glycine-loss,2,NR0B1,0.05,other,0.0,G>S,0.2,0.7,0.0,0.05,0.0,2.6,0.48,63.4,False,0.184,GO:0005886,GO:0016020,GO:0042802
48,1474,0.655,cross-mo,0.575,mechanism:hydrophobicity-switch,2,FIG4,0.027,transporter,0.068,I>T,1.0,0.0,0.0,0.0,0.0,5.2,0.0,50.6,False,0.247,GO:0070062,GO:0005737,GO:0005829
49,14,0.5,cross-mo,0.576,mechanism:glycine-loss,2,HRAS,0.05,RAS_MAPK,0.05,G>S,0.6,0.65,0.0,0.05,0.05,1.29,0.1,44.7,False,0.283,GO:0005886,GO:0005737,GO:0005829
51,9947,0.574,cross-mo,0.577,unresolved,0,MSH2,0.008,transporter,0.022,H>R,0.058,0.089,0.062,0.036,0.012,2.93,0.41,49.9,False,0.249,GO:0005886,GO:0005829,GO:0005634
53,737,0.889,cross-mo,0.573,unresolved,0,RAB11B,0.056,transporter,0.056,V>L,0.139,0.083,0.056,0.056,0.028,3.29,0.25,48.6,False,0.278,GO:0005886,GO:0070062,GO:0005829
54,3347,0.833,dna-driv,0.204,unresolved,0,PDHA1,0.03,RAS_MAPK,0.024,I>F,0.251,0.0,0.0,0.0,0.0,1.75,0.07,17.5,False,0.582,GO:0005829,GO:0005634,GO:0005737
55,118,-1.0,cross-mo,0.611,benign-general,1,KRTAP13-4,0.1,keratin,0.2,P>L,0.7,0.0,0.0,0.0,0.0,4.38,0.1,51.5,False,0.238,GO:0005829,GO:0005737,GO:0005634
56,1113,0.81,cross-mo,0.598,mechanism:charge-reversal,2,PTS,0.036,ion_channel,0.018,N>D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,False,0.238,GO:0005829,GO:0042802,GO:0005737
57,313,0.143,cross-mo,0.589,unresolved,0,EIF3F,0.1,keratin,0.05,S>L,0.4,0.0,0.0,0.05,0.05,3.64,0.08,53.7,False,0.317,GO:0005829,GO:0016020,GO:0005634
58,231,0.133,cross-mo,0.601,unresolved,0,GBP7,0.05,transporter,0.05,S>P,0.95,0.0,0.0,0.0,1.0,0.8,0.0,22.7,False,0.222,GO:0005829,GO:0005737,GO:0005886
61,26,0.375,cross-mo,0.565,unresolved,0,INCENP,0.15,cardiac_sarcomere,0.1,R>Q,0.85,0.0,0.0,0.0,0.0,1.42,1.0,37.8,False,0.454,GO:0005829,GO:0005737,GO:0005886
65,19,1.0,cross-mo,0.57,mechanism:charge-reversal,2,TGFBR2,0.25,RAS_MAPK,0.05,R>G,0.25,0.0,0.0,0.15,0.15,3.88,0.9,67.2,False,0.307,GO:0005886,GO:0005524,GO:0004674
67,45,0.167,cross-mo,0.581,unresolved,0,POR,0.05,transporter,0.1,P>T,0.6,0.0,0.0,0.0,0.0,2.19,0.05,17.6,False,0.188,GO:0070062,GO:0005886,GO:0016020
69,2832,0.741,cross-mo,0.58,unresolved,0,FHL2,0.021,transporter,0.043,T>P,0.206,0.0,0.0,0.0,0.213,2.64,0.27,31.7,False,0.263,GO:0005886,GO:0005634,GO:0016020
70,11,1.0,cross-mo,0.554,unresolved,0,DHRSX,0.05,ion_channel,0.05,R>C,0.15,0.0,0.0,0.25,0.15,2.78,0.4,47.4,False,0.424,GO:0005634,GO:0005789,GO:0005654
75,131,-1.0,cross-mo,0.579,benign-general,1,ARNT2,0.05,other,0.0,D>E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,False,0.378,GO:0005634,GO:0005737,GO:0005654
78,191,0.8,cross-mo,0.583,unresolved,0,HSPB1,0.1,keratin,0.05,P>A,0.8,0.0,0.0,0.0,0.0,2.88,0.0,24.0,False,0.185,GO:0005829,GO:0005739,GO:0005634
80,69,1.0,cross-mo,0.577,pathogenic-general,1,SERPINC1,0.15,other,0.0,M>T,0.9,0.0,0.0,0.0,0.0,2.72,0.0,45.8,False,0.227,GO:0005886,GO:0070062,GO:0005788
81,19,1.0,cross-mo,0.534,mechanism:cysteine-gain,4,MTHFR,0.1,transporter,0.05,W>C,0.8,0.0,0.0,0.85,0.0,3.0,0.15,104.0,False,0.504,GO:0005829,GO:0005737,GO:0005634
82,14,0.75,cross-mo,0.564,unresolved,0,FGFR2,0.25,RAS_MAPK,0.05,W>L,0.25,0.0,0.0,0.0,0.05,2.6,0.15,67.9,False,0.325,GO:0005886,GO:0005737,GO:0016020
84,3186,0.947,dna-driv,0.195,unresolved,0,FH,0.031,ion_channel,0.05,N>S,0.201,0.0,0.0,0.0,0.0,1.92,0.17,27.4,False,0.447,GO:0005737,GO:0005829,GO:0005634
86,449,0.0,cross-mo,0.605,benign-general,1,NYAP2,0.091,transporter,0.045,P>S,0.818,0.0,0.0,0.0,0.0,1.11,0.0,24.3,False,0.433,GO:0005634,GO:0005886,GO:0005829
87,106,0.667,cross-mo,0.558,mechanism:charge-reversal,2,IL2RG,0.1,coagulation,0.05,P>R,0.25,0.15,0.05,0.15,0.0,3.84,0.85,72.1,False,0.274,GO:0005886,GO:0005829,GO:0005615
89,140,0.0,cross-mo,0.593,benign-general,1,ZNF780B,0.1,other,0.0,N>S,0.35,0.25,0.0,0.0,0.0,1.46,0.0,22.8,False,0.119,GO:0008270,GO:0005634,GO:0006357
90,21,0.5,cross-mo,0.594,unresolved,0,ACOT4,0.05,transporter,0.05,T>I,0.3,0.0,0.0,0.0,0.05,3.0,0.25,42.8,False,0.434,GO:0005829,GO:0005654,GO:0005737
91,23,-1.0,cross-mo,0.592,unresolved,0,ZNF181,0.05,other,0.0,K>Q,0.2,0.0,0.0,0.0,0.0,1.65,1.12,30.2,False,0.102,GO:0005634,GO:0008270,GO:0000981
92,28,1.0,cross-mo,0.564,mechanism:charge-reversal,2,ACTN1,0.1,transporter,0.1,R>W,0.45,0.0,0.0,0.4,0.0,4.61,0.92,53.5,False,0.479,GO:0005829,GO:0005634,GO:0005737
93,472,0.667,cross-mo,0.611,unresolved,0,FKTN,0.043,RAS_MAPK,0.043,F>I,1.0,0.0,0.0,0.0,0.0,1.7,0.0,23.2,False,0.259,GO:0005886,GO:0016020,GO:0005829
96,11,-1.0,cross-mo,0.567,unresolved,0,ZNF584,0.05,RAS_MAPK,0.05,Q>E,0.25,0.05,0.0,0.05,0.0,1.57,0.48,36.2,False,0.202,GO:0005634,GO:0008270,GO:0006357
97,1465,0.083,cross-mo,0.566,benign-general,1,GATA2,0.041,other,0.0,A>T,1.0,0.0,0.0,0.0,0.0,2.5,0.0,27.5,False,0.73,GO:0005634,GO:0000981,GO:0000785
98,175,-1.0,cross-mo,0.587,benign-general,1,ZNF81,0.1,other,0.0,I>V,1.0,0.0,0.0,0.0,0.0,0.3,0.0,26.7,False,0.129,GO:0005634,GO:0008270,GO:0000981
102,139,0.75,cross-mo,0.588,unresolved,0,KCNQ2,0.05,transporter,0.1,S>G,0.1,0.1,0.05,0.0,0.0,2.74,0.18,49.7,False,0.209,GO:0005886,GO:0016020,GO:0005829
103,15,0.833,cross-mo,0.582,unresolved,0,ASPA,0.05,transporter,0.1,L>F,0.7,0.0,0.0,0.05,0.1,1.55,0.05,34.5,False,0.24,GO:0005829,GO:0005886,GO:0005634
106,38,1.0,cross-mo,0.571,mechanism:charge-reversal,2,CHAT,0.05,transporter,0.1,V>D,1.0,0.0,0.0,0.0,0.0,7.7,1.0,28.9,False,0.173,GO:0005886,GO:0016020,GO:0005634
108,18,0.8,cross-mo,0.595,unresolved,0,HRAS,0.05,RAS_MAPK,0.05,R>P,0.15,0.1,0.0,0.05,0.15,2.53,0.48,51.8,False,0.349,GO:0005886,GO:0005829,GO:0005634
110,6220,0.14,dna-driv,0.182,unresolved,0,NBPF4,0.01,transporter,0.051,A>T,0.119,0.174,0.032,0.048,0.0,2.72,0.34,44.0,False,0.12,GO:0005886,GO:0005829,GO:0005737
112,38,1.0,cross-mo,0.437,unresolved,0,KPNA3,0.05,coagulation,0.05,K>R,0.45,0.05,0.0,0.0,0.1,2.18,0.2,32.8,False,0.426,GO:0005737,GO:0005886,GO:0005654
113,1395,0.0,cross-mo,0.577,mechanism:glycine-loss,2,DCAF10,0.029,ion_channel,0.058,G>R,0.971,0.971,0.0,0.0,0.0,4.15,1.0,111.0,False,0.341,GO:0005634,GO:0005654,GO:0005737
116,49,0.818,cross-mo,0.458,unresolved,0,ALPL,0.1,other,0.0,G>R,0.4,0.45,0.0,0.0,0.05,2.82,0.7,66.9,False,0.218,GO:0005829,GO:0005737,GO:0005886
125,1259,0.154,cross-mo,0.64,unresolved,0,FH,0.032,transporter,0.097,F>L,0.984,0.0,0.0,0.0,0.0,1.06,0.0,24.1,False,0.187,GO:0005886,GO:0004930,GO:0005829
129,30,-1.0,cross-mo,0.582,unresolved,0,CFHR4,0.05,other,0.0,K>N,0.7,0.0,0.0,0.0,0.0,0.42,1.05,44.4,False,0.054,GO:0008270,GO:0005634,GO:0000978
133,3249,0.091,dna-driv,0.28,benign-general,1,CEMP1,0.019,transporter,0.019,A>V,0.123,0.056,0.006,0.117,0.0,3.01,0.38,46.1,False,0.174,GO:0005886,GO:0005829,GO:0005654
134,70,-1.0,cross-mo,0.574,benign-general,1,PPP2R1A,0.05,ion_channel,0.05,A>T,0.4,0.0,0.0,0.0,0.0,2.41,0.0,24.0,False,0.205,GO:0005829,GO:0005886,GO:0016020
135,256,0.889,cross-mo,0.633,mechanism:charge-reversal,2,TXNRD2,0.05,transporter,0.05,H>D,1.0,0.0,0.0,0.0,0.0,0.3,1.5,42.1,False,0.34,GO:0005829,GO:0005737,GO:0016020
136,212,0.917,cross-mo,0.586,mechanism:charge-reversal,2,GNAS,0.1,ion_channel,0.1,R>G,0.45,0.0,0.0,0.05,0.15,3.57,0.92,80.5,False,0.291,GO:0005886,GO:0005829,GO:0005737
137,39,1.0,cross-mo,0.58,gene-family:transporter,4,IRF6,0.15,transporter,0.45,R>L,0.4,0.0,0.0,0.05,0.05,5.16,0.9,39.3,False,0.4,GO:0005829,GO:0070062,GO:0005886
138,16,0.75,cross-mo,0.584,mechanism:charge-reversal,2,EGR2,0.1,other,0.0,R>Q,0.55,0.0,0.0,0.0,0.05,1.39,0.88,31.2,False,0.341,GO:0005634,GO:0005829,GO:0008270
139,12,1.0,cross-mo,0.523,unresolved,0,SHH,0.1,transporter,0.1,T>R,0.3,0.0,0.0,0.0,0.1,3.45,0.6,43.5,False,0.319,GO:0005886,GO:0005789,GO:0005829
140,1281,0.172,cross-mo,0.596,unresolved,0,CEP89,0.031,transporter,0.016,R>G,0.078,0.0,0.016,0.062,0.125,3.37,0.62,45.0,False,0.305,GO:0005634,GO:0005829,GO:0005737
141,28,0.7,cross-mo,0.578,mechanism:charge-reversal,2,SATB1,0.1,keratin,0.15,E>K,0.95,0.0,0.0,0.0,0.0,0.38,1.95,29.0,False,0.452,GO:0005654,GO:0005829,GO:0005634
143,10,0.444,cross-mo,0.588,unresolved,0,ADAM11,0.2,transporter,0.05,G>R,0.3,0.4,0.05,0.1,0.0,3.5,0.57,74.7,False,0.249,GO:0005886,GO:0005737,GO:0005654
152,14,-1.0,cross-mo,0.567,unresolved,0,HRAS,0.05,ion_channel,0.1,S>G,0.7,0.0,0.0,0.05,0.05,0.94,0.1,41.5,False,0.397,GO:0005654,GO:0005737,GO:0005829
154,74,0.286,cross-mo,0.571,mechanism:cysteine-gain,4,LRRC75B,0.1,other,0.0,R>C,1.0,0.0,0.0,1.0,0.0,7.0,1.0,64.9,False,0.315,GO:0005829,GO:0016020,GO:0005737
156,704,0.3,cross-mo,0.59,unresolved,0,MSH2,0.057,transporter,0.057,T>M,0.257,0.114,0.0,0.0,0.029,3.24,0.39,45.9,False,0.328,GO:0005886,GO:0005829,GO:0005737
157,1045,0.333,cross-mo,0.368,unresolved,0,SLC26A4,0.019,transporter,0.077,D>Y,0.154,0.0,0.0,0.154,0.019,1.84,0.57,50.5,False,0.139,GO:0005886,GO:0005829,GO:0016020
163,624,0.0,cross-mo,0.417,benign-general,1,PMS2,0.065,keratin,0.065,T>R,0.387,0.0,0.0,0.065,0.0,3.28,0.65,47.2,False,0.082,GO:0005737,GO:0005829,GO:0070062
164,387,0.0,cross-mo,0.621,benign-general,1,CSF2RA,0.1,ion_channel,0.05,V>M,0.35,0.0,0.0,0.05,0.0,2.15,0.0,30.2,False,0.243,GO:0005829,GO:0005886,GO:0005576
165,27,0.556,cross-mo,0.586,unresolved,0,ORC3,0.05,transporter,0.05,N>S,0.95,0.0,0.0,0.0,0.05,2.65,0.02,25.9,False,0.296,GO:0005829,GO:0005737,GO:0005654
167,22,-1.0,cross-mo,0.562,unresolved,0,SERPIND1,0.05,coagulation,0.05,S>L,0.4,0.0,0.0,0.0,0.1,3.6,0.1,70.5,False,0.132,GO:0005886,GO:0005737,GO:0070062
168,1538,0.261,cross-mo,0.59,unresolved,0,NFIX,0.026,transporter,0.026,D>N,0.961,0.013,0.0,0.0,0.0,0.12,1.0,6.1,False,0.285,GO:0005829,GO:0005634,GO:0005737
170,51,0.375,cross-mo,0.586,unresolved,0,SLC5A8,0.05,transporter,0.1,G>E,0.1,0.2,0.05,0.0,0.0,2.88,0.25,53.2,False,0.088,GO:0005886,GO:0005829,GO:0005737
171,467,0.556,cross-mo,0.589,unresolved,0,RHO,0.13,keratin,0.043,S>F,0.13,0.0,0.0,0.043,0.0,3.13,0.28,46.4,False,0.101,GO:0005886,GO:0005576,GO:0005737
172,2622,0.742,dna-driv,0.265,unresolved,0,MSH2,0.031,transporter,0.031,R>P,0.229,0.16,0.015,0.008,0.366,3.25,0.53,52.1,False,0.421,GO:0005829,GO:0005634,GO:0005886
173,1322,0.76,dna-driv,0.325,unresolved,0,MMUT,0.03,transporter,0.015,I>L,0.136,0.0,0.015,0.0,0.015,2.67,0.3,24.9,False,0.306,GO:0005829,GO:0005737,GO:0005654
175,722,0.176,cross-mo,0.601,unresolved,0,KCNQ1,0.056,ion_channel,0.056,P>L,0.139,0.167,0.028,0.056,0.0,2.78,0.33,47.5,False,0.092,GO:0005886,GO:0005737,GO:0005829
176,87,0.333,cross-mo,0.601,unresolved,0,NELL2,0.05,cardiac_sarcomere,0.05,P>L,0.2,0.1,0.05,0.1,0.0,3.34,0.3,59.2,False,0.268,GO:0005886,GO:0005737,GO:0005829
178,45,-1.0,cross-mo,0.537,mechanism:hydrophobicity-switch,2,OR10W1,0.05,coagulation,0.05,L>P,0.95,0.0,0.0,0.0,1.0,5.21,0.02,53.3,False,0.098,GO:0005886,GO:0004930,GO:0004984
182,978,0.0,cross-mo,0.566,mechanism:glycine-loss,2,FGFR3,0.042,other,0.0,G>S,0.979,1.0,0.0,0.0,0.0,0.4,0.0,31.8,False,0.259,GO:0005886,GO:0005634,GO:0005829
183,637,0.1,cross-mo,0.596,unresolved,0,DMP1,0.065,other,0.0,S>L,0.194,0.0,0.0,0.129,0.065,2.99,0.0,53.6,False,0.25,GO:0005829,GO:0005634,GO:0005886
184,36,0.0,cross-mo,0.577,unresolved,0,ZFX,0.1,other,0.0,H>R,0.5,0.0,0.0,0.0,0.0,1.96,0.7,25.1,False,0.185,GO:0008270,GO:0005634,GO:0000978
187,1537,0.652,dna-driv,0.302,unresolved,0,IL2RG,0.013,RAS_MAPK,0.013,V>L,0.092,0.0,0.0,0.013,0.0,1.91,0.21,33.5,False,0.404,GO:0005829,GO:0005654,GO:0005886
189,2953,0.407,dna-driv,0.283,unresolved,0,GALC,0.014,transporter,0.027,L>P,0.075,0.0,0.061,0.007,0.088,2.92,0.39,41.1,False,0.176,GO:0005886,GO:0005829,GO:0005737
191,24,-1.0,cross-mo,0.564,unresolved,0,ZNF223,0.05,other,0.0,E>D,0.85,0.0,0.0,0.0,0.0,0.53,0.15,32.4,False,0.103,GO:0008270,GO:0005634,GO:0006357
192,93,0.556,cross-mo,0.592,mechanism:glycine-loss,2,DDC,0.05,ion_channel,0.1,G>D,0.55,1.0,0.0,0.0,0.0,3.07,0.9,63.6,False,0.201,GO:0005886,GO:0070062,GO:0005764
195,114,0.0,cross-mo,0.617,benign-general,1,ZNF14,0.15,other,0.0,R>Q,1.0,0.0,0.0,0.0,0.0,1.0,1.0,29.6,False,0.065,GO:0008270,GO:0005634,GO:0006357
196,411,0.25,cross-mo,0.596,unresolved,0,TTC7A,0.05,RAS_MAPK,0.05,P>S,0.45,0.1,0.05,0.0,0.0,1.48,0.28,32.1,False,0.358,GO:0005886,GO:0005829,GO:0005654
197,490,0.667,cross-mo,0.609,unresolved,0,MAP2K2,0.167,RAS_MAPK,0.25,F>L,0.458,0.0,0.0,0.0,0.0,1.5,0.04,48.8,False,0.347,GO:0005829,GO:0005886,GO:0005783
200,417,-1.0,cross-mo,0.628,mechanism:hydrophobicity-switch,2,SCEL,0.05,ion_channel,0.05,R>M,1.0,0.0,0.0,0.0,0.0,6.4,1.0,10.5,False,0.113,GO:0005737,GO:0005634,GO:0005886
202,60,0.125,cross-mo,0.591,unresolved,0,NFATC1,0.05,collagen,0.05,P>S,1.0,0.0,0.0,0.0,0.0,0.8,0.0,23.7,False,0.101,GO:0005634,GO:0005886,GO:0005737
204,141,0.333,cross-mo,0.584,unresolved,0,CCNYL1,0.1,RAS_MAPK,0.1,T>M,0.15,0.15,0.05,0.05,0.1,3.92,0.1,63.5,False,0.517,GO:0005886,GO:0005634,GO:0005829
208,4561,0.464,dna-driv,0.211,unresolved,0,ENG,0.013,transporter,0.035,A>G,0.066,0.018,0.018,0.118,0.114,2.66,0.43,38.2,False,0.243,GO:0005829,GO:0005634,GO:0005737
209,10,0.667,cross-mo,0.555,unresolved,0,FAM111B,0.05,ion_channel,0.05,H>Q,0.45,0.05,0.0,0.1,0.1,1.62,0.38,38.0,False,0.371,GO:0016020,GO:0005737,GO:0005634
212,92,0.167,cross-mo,0.583,unresolved,0,BMP15,0.05,collagen,0.05,R>Q,0.2,0.0,0.0,0.0,0.0,2.09,0.5,29.1,False,0.272,GO:0005634,GO:0005829,GO:0005654
213,58,0.5,cross-mo,0.581,unresolved,0,NFIX,0.1,ion_channel,0.05,R>P,0.2,0.0,0.05,0.05,0.2,3.21,0.57,46.8,False,0.351,GO:0005634,GO:0005829,GO:0005886
215,1146,0.706,cross-mo,0.643,unresolved,0,MSH2,0.053,ion_channel,0.053,Q>H,1.0,0.0,0.0,0.0,0.0,0.3,0.5,9.4,False,0.314,GO:0005829,GO:0016020,GO:0005737
218,16,0.875,cross-mo,0.561,mechanism:glycine-loss,2,PPT1,0.1,RAS_MAPK,0.05,G>S,0.25,0.65,0.0,0.0,0.0,2.11,0.25,46.3,False,0.142,GO:0005886,GO:0005829,GO:0005634
222,125,-1.0,cross-mo,0.619,benign-general,1,CYP4F8,0.05,ion_channel,0.05,V>F,0.85,0.0,0.0,0.0,0.0,1.44,0.0,45.9,False,0.141,GO:0005886,GO:0005737,GO:0046872
223,61,-1.0,cross-mo,0.577,mechanism:collagen-Gly-XY-disruption,5,FUS,0.1,collagen,0.05,G>R,0.35,0.7,0.0,0.0,0.0,2.72,0.4,75.0,False,0.395,GO:0005634,GO:0005654,GO:0008270
225,966,0.636,cross-mo,0.579,unresolved,0,GALNS,0.042,transporter,0.042,P>L,0.146,0.125,0.062,0.021,0.0,3.19,0.38,74.6,False,0.271,GO:0005737,GO:0005886,GO:0005634
228,991,0.529,dna-driv,0.315,unresolved,0,SP110,0.041,transporter,0.02,L>R,0.102,0.041,0.02,0.0,0.0,2.7,0.5,29.8,False,0.262,GO:0005634,GO:0005886,GO:0005737
229,14,0.933,cross-mo,0.564,unresolved,0,SPG7,0.15,ion_channel,0.05,M>L,0.3,0.05,0.05,0.05,0.05,2.64,0.42,33.1,False,0.356,GO:0005739,GO:0005886,GO:0008270
230,12,0.714,cross-mo,0.491,unresolved,0,PTPN11,0.1,RAS_MAPK,0.1,L>F,0.6,0.05,0.0,0.05,0.05,1.94,0.12,35.7,False,0.587,GO:0005654,GO:0005737,GO:0005829
231,130,0.8,cross-mo,0.59,unresolved,0,PMM2,0.15,keratin,0.05,L>F,0.2,0.35,0.0,0.3,0.0,2.34,0.2,59.8,False,0.143,GO:0005829,GO:0046872,GO:0005737
232,391,0.0,cross-mo,0.587,benign-general,1,DNTTIP2,0.05,other,0.0,S>G,0.7,0.0,0.0,0.0,0.0,1.37,0.15,41.8,False,0.45,GO:0005654,GO:0005829,GO:0005634
235,63,0.0,cross-mo,0.602,benign-general,1,CHADL,0.05,other,0.0,F>L,0.5,0.0,0.0,0.0,0.0,2.26,0.05,30.0,False,0.063,GO:0005634,GO:0008270,GO:0000978
237,54,-1.0,cross-mo,0.561,benign-general,1,ZNF304,0.05,other,0.0,A>T,0.3,0.0,0.0,0.0,0.2,2.93,0.1,25.9,False,0.104,GO:0005634,GO:0008270,GO:0000981
239,1234,0.222,dna-driv,0.292,unresolved,0,MMUT,0.033,ion_channel,0.016,Q>R,0.148,0.0,0.0,0.0,0.131,2.07,0.52,41.1,False,0.168,GO:0005886,GO:0005654,GO:0005634
241,506,0.222,cross-mo,0.607,unresolved,0,GNE,0.08,transporter,0.04,V>L,1.0,0.0,0.0,0.0,0.0,0.4,0.0,26.7,False,0.257,GO:0005829,GO:0005886,GO:0005737
242,2953,0.414,dna-driv,0.228,unresolved,0,RAG2,0.014,transporter,0.014,E>Q,0.49,0.0,0.0,0.211,0.0,0.87,0.86,19.7,False,0.173,GO:0005829,GO:0005737,GO:0005634
245,182,0.167,cross-mo,0.608,unresolved,0,EDNRB,0.05,transporter,0.05,P>L,0.45,0.0,0.0,0.05,0.0,3.52,0.15,43.8,False,0.385,GO:0005886,GO:0005737,GO:0005829
248,2847,0.308,dna-driv,0.261,unresolved,0,HCN1,0.014,transporter,0.042,L>V,0.261,0.0,0.0,0.0,0.0,1.94,0.05,24.0,False,0.226,GO:0005829,GO:0005886,GO:0005737
250,193,0.714,cross-mo,0.589,unresolved,0,G6PD,0.05,transporter,0.05,L>Q,0.1,0.15,0.0,0.1,0.15,4.15,0.4,49.7,False,0.375,GO:0005829,GO:0005654,GO:0005634
251,752,0.625,cross-mo,0.594,mechanism:charge-reversal,2,PTPN11,0.054,RAS_MAPK,0.054,E>V,1.0,0.0,0.0,0.0,0.0,7.7,1.0,1.6,False,0.308,GO:0005634,GO:0005829,GO:0005737
252,690,0.0,cross-mo,0.567,benign-general,1,PHOX2B,0.206,other,0.0,A>V,0.471,0.0,0.0,0.0,0.059,2.59,0.03,33.7,False,0.746,GO:0005634,GO:0000785,GO:0000981
255,1781,0.915,cross-mo,0.585,mechanism:charge-reversal,2,ELANE,0.034,transporter,0.067,G>R,0.539,0.944,0.022,0.045,0.0,3.62,0.83,90.9,False,0.225,GO:0005886,GO:0005737,GO:0005829
256,375,-1.0,cross-mo,0.602,benign-general,1,LAMP2,0.05,ion_channel,0.05,Y>F,1.0,0.0,0.0,0.0,0.0,4.1,0.0,3.7,False,0.426,GO:0005634,GO:0005615,GO:0016020
