feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
9583,786,0.231,cross-mo,0.597,mechanism:cysteine-gain,4,UQCRB,0.051,ion_channel,0.051,R>C,0.462,0.0,0.0,0.462,0.0,7.2,1.0,34.2,False,0.262,GO:0005737,GO:0005829,GO:0005886
9584,57,-1.0,cross-mo,0.574,benign-general,1,SLC6A8,0.05,transporter,0.2,F>S,1.0,0.0,0.0,0.0,0.0,3.6,0.0,100.9,False,0.063,GO:0005886,GO:0016020,GO:0070062
9585,14,0.556,cross-mo,0.589,unresolved,0,GALT,0.1,ion_channel,0.1,K>N,0.5,0.1,0.0,0.1,0.0,2.06,0.78,55.0,False,0.358,GO:0005829,GO:0005737,GO:0005886
9586,35,-1.0,cross-mo,0.568,mechanism:hydrophobicity-switch,2,CABLES1,0.05,other,0.0,R>M,0.95,0.0,0.0,0.0,0.0,6.53,1.0,10.3,False,0.245,GO:0005634,GO:0005654,GO:0005829
9587,64,-1.0,cross-mo,0.59,benign-general,1,PKP1,0.05,other,0.0,D>H,0.95,0.0,0.0,0.0,0.0,0.39,1.48,44.1,False,0.385,GO:0005634,GO:0005654,GO:0005829
9588,428,-1.0,cross-mo,0.581,mechanism:hydrophobicity-switch,2,TFRC,0.048,other,0.0,E>A,0.952,0.0,0.0,0.0,0.0,5.41,1.0,47.5,False,0.372,GO:0070062,GO:0005737,GO:0005576
9593,12893,0.094,dna-driv,0.135,benign-general,1,MSH2,0.009,transporter,0.023,N>S,0.04,0.051,0.017,0.028,0.037,2.56,0.29,36.9,False,0.179,GO:0005886,GO:0005634,GO:0005829
9596,78,0.6,cross-mo,0.581,unresolved,0,KCNA2,0.1,ion_channel,0.2,V>M,0.9,0.0,0.0,0.0,0.0,2.16,0.1,24.6,False,0.291,GO:0005886,GO:0016020,GO:0005634
9598,370,0.9,cross-mo,0.582,mechanism:charge-reversal,2,SLC16A2,0.1,transporter,0.25,G>D,0.55,1.0,0.0,0.05,0.0,3.39,0.95,72.3,False,0.329,GO:0005886,GO:0005829,GO:0016020
9601,332,0.714,cross-mo,0.587,unresolved,0,TRIM56,0.05,transporter,0.05,G>V,0.15,0.2,0.2,0.0,0.0,4.04,0.4,54.7,False,0.245,GO:0005829,GO:0005737,GO:0005886
9602,416,0.364,cross-mo,0.6,unresolved,0,MAB21L2,0.15,other,0.0,R>H,0.6,0.0,0.0,0.1,0.0,2.43,0.68,44.8,False,0.183,GO:0005737,GO:0005634,GO:0005886
9604,1141,0.111,cross-mo,0.613,unresolved,0,NBPF15,0.035,transporter,0.018,V>M,0.684,0.0,0.0,0.0,0.0,2.22,0.05,25.5,False,0.36,GO:0005829,GO:0005737,GO:0005634
9607,7070,0.853,cross-mo,0.563,unresolved,0,CLN8,0.011,transporter,0.045,A>D,0.082,0.088,0.025,0.068,0.028,4.31,0.53,47.1,False,0.254,GO:0005886,GO:0005829,GO:0005634
9613,20,0.8,cross-mo,0.598,unresolved,0,ZNF497,0.1,ion_channel,0.1,P>L,0.5,0.1,0.05,0.0,0.0,3.66,0.15,45.3,False,0.337,GO:0005634,GO:0008270,GO:0000978
9614,41,0.364,cross-mo,0.56,unresolved,0,MC3R,0.05,RAS_MAPK,0.15,L>P,0.15,0.0,0.1,0.0,0.25,3.26,0.28,46.8,False,0.565,GO:0005634,GO:0005737,GO:0005829
9620,232,1.0,cross-mo,0.575,pathogenic-general,1,IDS,0.1,transporter,0.1,S>I,0.7,0.0,0.0,0.0,0.0,4.91,0.1,74.0,False,0.397,GO:0005829,GO:0005886,GO:0005654
9621,93,1.0,cross-mo,0.503,mechanism:disulfide-bond-loss,4,ZBTB20,0.2,other,0.0,C>Y,0.6,0.0,1.0,0.0,0.0,2.4,0.0,83.6,False,0.579,GO:0005634,GO:0008270,GO:0000978
9622,76,0.875,cross-mo,0.592,unresolved,0,BRAF,0.1,RAS_MAPK,0.1,L>P,0.35,0.0,0.05,0.1,0.35,3.96,0.15,41.5,False,0.52,GO:0005886,GO:0005829,GO:0005737
9623,508,0.417,cross-mo,0.61,unresolved,0,ACSM2B,0.04,keratin,0.04,L>F,0.32,0.0,0.2,0.0,0.0,2.09,0.12,56.5,False,0.24,GO:0005886,GO:0005829,GO:0005737
9626,19,0.333,cross-mo,0.56,mechanism:hydrophobicity-switch,2,CLN6,0.05,transporter,0.05,L>R,0.9,0.0,0.0,0.0,0.0,7.66,0.9,8.4,False,0.07,GO:0005829,GO:0005886,GO:0005654
9628,1292,0.16,cross-mo,0.591,unresolved,0,BHLHA15,0.031,transporter,0.031,R>Q,0.109,0.016,0.0,0.078,0.109,2.65,0.38,40.0,False,0.206,GO:0005886,GO:0016020,GO:0005737
